Table1_ID,Table1_Name,Table2_ID_Match,Table2_Name_Match,Match_Method,Fuzzy_Score,LLM_Score
1470801,"Wells Fargo Securities, LLC",62621.0,WELLS FARGO SECURITIES,LLM Refined Fuzzy,92.0,0.98
1472444,"KGS-ALPHA CAPITAL MARKETS, L.P.",,,No Match,,
1477227,"PURSUIT CAPITAL MARKETING, LLC",65730.0,MBS CAPITAL MARKETS LLC,LLM Refined Fuzzy,77.0,0.8
1482756,ENTERPRISE BANK & TRUST,,,No Match,,
1484219,Barclays Capital INC,61441.0,BARCLAYS CAPITAL INC,LLM Refined Fuzzy,100.0,1.0
1484355,"FIRST SOUTHERN SECURITIES, LLC.",63603.0,FRS SECURITIES LLC,LLM Refined Fuzzy,77.0,0.85
1485951,"BRANDYWINE INVESTMENT SECURITIES, LLC",,,No Match,,
1486351,CLEAN ENERGY CAPITAL SECURITIES LLC,72654.0,CLEAN ENERGY CAPITAL SECURITIES LLC,LLM Refined Fuzzy,100.0,1.0
1488377,SDDCO BROKERAGE ADVISORS LLC,,,No Match,,
1488662,"Wells Fargo Bank, National Association Municipal Products Group",,,No Match,,
1491105,BRATTLE ADVISORS LLC,70219.0,BRADLEY PAYNE ADVISORS LLC,LLM Refined Fuzzy,78.0,0.8
1492085,"CEDAR PARTNERS, LTD",,,No Match,,
1496738,"CHURCHILL STATESIDE SECURITIES, LLC",,,No Match,,
1500531,"MBS CAPITAL MARKETS, LLC",65730.0,MBS CAPITAL MARKETS LLC,LLM Refined Fuzzy,100.0,0.98
1510788,"BRIDGEPORT PARTNERS, LLC",63308.0,BRIDGEPORT PARTNERS LLC,LLM Refined Fuzzy,100.0,0.98
1516436,"CUMBERLAND PARTNERS, LLC",70443.0,CTBH PARTNERS LLC,LLM Refined Fuzzy,75.0,0.8
1520194,"Synovus Securities, Inc.",25808.0,SYNOVUS SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
1541625,Prospera Financial Services Inc,63259.0,FINANCIAL SERVICES INC,LLM Refined Fuzzy,83.0,0.9
1542278,CRITO CAPITAL LLC,60622.0,COMMUNITY CAPITAL LLC,LLM Refined Fuzzy,79.0,0.8
1543191,PIEDMONT SECURITIES LLC,67407.0,PIEDMONT SECURITIES LLC,LLM Refined Fuzzy,100.0,1.0
1548133,"MILLCO ADVISORS, LP",55274.0,DEL RIO ADVISORS LLC,Fuzzy Only (LLM low confidence),79.0,0.6
1568897,"TOP CAPITAL ADVISORS, INC.",59273.0,CAPITAL ADVISORS INC,LLM Refined Fuzzy,91.0,0.85
1569916,State Bank & Trust Co,73307.0,US BANK TRUST CO NA,LLM Refined Fuzzy,79.0,0.8
1586827,Burckhart Alberto Rafael,,,No Match,,
1589157,"Zomermaand Financial Advisory Services, L.L.C.",55328.0,ZOMERMAAND FINANCIAL ADVISORY SERVICES LLC,LLM Refined Fuzzy,95.0,0.98
1589994,Veyron & Co. (US) LLC,,,No Match,,
1591452,"Fiscal Advisors & Marketing, Inc",49935.0,FISCAL ADVISORS AND MARKETING INC,LLM Refined Fuzzy,94.0,1.0
1593687,Meierhenry Sargent LLP,61843.0,MEIERHENRY SARGENT LLP,LLM Refined Fuzzy,100.0,1.0
1597525,"Winters & Co Advisors, LLC",50227.0,WATERS AND CO LLC,LLM Refined Fuzzy,75.0,0.85
1597617,Rubicon Infrastructure Advisors,,,No Match,,
1597617,Rubicon Infrastructure Advisors Unlimited Co,,,No Match,,
1598289,First River Advisory L.L.C.,50933.0,FIRST RIVER ADVISORY LLC,LLM Refined Fuzzy,92.0,0.98
1599716,Howard Joy A,,,No Match,,
1603788,PJT PARTNERS LP,,,No Match,,
1604197,"Ehlers & Associates, Inc.",4451.0,EHLERS AND ASSOCIATES INC,LLM Refined Fuzzy,91.0,0.98
1606944,"Speer Financial, Inc.",44320.0,SPEER FINANCIAL INC,LLM Refined Fuzzy,100.0,0.98
1607239,"Moors & Cabot, Inc.",50243.0,MOORS AND CABOT INC,LLM Refined Fuzzy,88.0,0.98
1607356,BLUHAUS CAPITAL ADVISORS LLC,50803.0,CAPITAL ADVISORS LLC,LLM Refined Fuzzy,83.0,0.85
1607791,Caine Mitter & Associates Inc,50168.0,CAINE MITTER AND ASSOCIATES INC,LLM Refined Fuzzy,93.0,1.0
1607949,First Southwest Co,24926.0,FIRST SOUTHWEST CO,LLM Refined Fuzzy,100.0,1.0
1607949,"First Southwest Company, LLC",68931.0,FIRST SOUTHWEST LLC,LLM Refined Fuzzy,83.0,0.98
1608032,"Civic Finance Advisors, LLC",66138.0,CIVIC FINANCE ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1608033,"Columbia Capital Management, LLC",50842.0,COLUMBIA CAPITAL MANAGEMENT LLC,LLM Refined Fuzzy,100.0,1.0
1608193,City Securities Corp,46871.0,CITY SECURITIES CORP,LLM Refined Fuzzy,100.0,1.0
1608472,"Munistat Services, Inc.",50115.0,MUNISTAT SERVICES INC,LLM Refined Fuzzy,100.0,0.9
1608698,Community Capital LLC,60622.0,COMMUNITY CAPITAL LLC,LLM Refined Fuzzy,100.0,1.0
1608705,"Strategic Solutions Center, LLC",58472.0,STRATEGIC SOLUTIONS CENTER LLC,LLM Refined Fuzzy,100.0,1.0
1608743,Echo Financial Products LLC,67440.0,ECHO FINANCIAL PRODUCTS LLC,LLM Refined Fuzzy,100.0,1.0
1608948,Health Care Network Associates,,,No Match,,
1609267,"ASCENSUS INVESTMENT ADVISORS, LLC",65086.0,CROSSROADS INVESTMENT ADVISORS LLC,LLM Refined Fuzzy,82.0,0.8
1609529,Kidwell & Co,51448.0,KIDWELL AND CO,LLM Refined Fuzzy,83.0,1.0
1609656,Commonwealth National Bank,3156.0,COMMONWEALTH NATIONAL BANK,LLM Refined Fuzzy,100.0,1.0
1610028,"BNY Mellon Capital Markets, LLC",61047.0,BNY MELLON CAPITAL MARKETS LLC,LLM Refined Fuzzy,100.0,1.0
1610215,"Dale Scott & Co., Inc.",32539.0,DALE SCOTT AND CO INC,LLM Refined Fuzzy,89.0,0.9
1610236,"Sycamore Advisors, LLC",54761.0,SYCAMORE ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1610265,"William Euphrat Municipal Finance, Inc.",50057.0,WILLIAM EUPHRAT MUNICIPAL FINANCE INC,LLM Refined Fuzzy,100.0,1.0
1610268,"H.J. Umbaugh & Associates, Certified Public Accountants, LLP",53504.0,H J UMBAUGH AND ASSOCIATES CERTIFIED PUBLIC ACCOUNTANTS LLP,LLM Refined Fuzzy,96.0,0.95
1610370,"Phoenix Capital Partners, LLP",50319.0,PHOENIX CAPITAL PARTNERS LLP,LLM Refined Fuzzy,100.0,1.0
1610503,"Caldwell Flores Winters, Inc.",50059.0,CALDWELL FLORES WINTERS INC,LLM Refined Fuzzy,100.0,1.0
1610556,"Kensington Capital Advisors, LLC",61706.0,KENSINGTON CAPITAL ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1610628,BLX Group LLC,63728.0,BLX GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1610917,"Harrell & Co Advisors, LLC",50171.0,HARRELL AND CO ADVISORS LLC,LLM Refined Fuzzy,92.0,1.0
1611060,"Independent Public Advisors, LLC",66622.0,INDEPENDENT PUBLIC ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1611257,"Hunden Strategic Partners, Inc.",72993.0,BRIDGE STRATEGIC PARTNERS LLC,Fuzzy Only (LLM low confidence),79.0,0.7
1611372,"PK SECURITIES, INC.",53142.0,PMA SECURITIES INC,LLM Refined Fuzzy,91.0,0.85
1611590,Ward Group LLC,66422.0,WARD GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1611606,DEC Associates Inc,51255.0,DEC ASSOCIATES INC,LLM Refined Fuzzy,100.0,1.0
1611619,"Not for Profit Capital Strategies, LLC",68137.0,CAPITAL STRATEGIES LLC,LLM Refined Fuzzy,75.0,0.9
1611675,"Rod Gunn Associates, Inc.",49230.0,ROD GUNN ASSOCIATES INC,LLM Refined Fuzzy,100.0,1.0
1611676,"Bernard P. Donegan, Inc.",50005.0,BERNARD P DONEGAN INC,LLM Refined Fuzzy,100.0,0.98
1611696,"Stephen H. McDonald & Associates, Inc.",51399.0,STEPHEN H MCDONALD AND ASSOCIATES INC,LLM Refined Fuzzy,94.0,0.98
1612065,Hampel Charles Edward,68469.0,CHARLES E HAMPEL,LLM Refined Fuzzy,86.0,0.85
1612212,cfX Inc,71831.0,CFX INC,LLM Refined Fuzzy,100.0,0.94
1612223,"Public Resources Advisory Group, Inc.",77920.0,PUBLIC RESOURCES ADVISORY GROUP INC,LLM Refined Fuzzy,100.0,1.0
1612224,Bartle Wells Associates,50786.0,BARTLE WELLS ASSOCIATES,LLM Refined Fuzzy,100.0,1.0
1612225,"Liberty Capital Services, LLC",52331.0,LIBERTY CAPITAL SERVICES LLC,LLM Refined Fuzzy,100.0,1.0
1612290,Rognan & Associates,61503.0,ROGNAN AND ASSOCIATES,LLM Refined Fuzzy,89.0,1.0
1612330,neveu wayne joseph,,,No Match,,
1612337,Percy Consulting LLC,57378.0,PRICE CONSULTING LLC,LLM Refined Fuzzy,90.0,0.8
1612364,"Ranson Financial Consultants, LLC",50126.0,RANSON FINANCIAL CONSULTANTS LLC,LLM Refined Fuzzy,100.0,1.0
1612420,"Lantern Associates, LLC",63019.0,LANTERN ASSOCIATES LLC,LLM Refined Fuzzy,100.0,1.0
1612423,"Raftelis Financial Consultants, Inc.",60430.0,RAFTELIS FINANCIAL CONSULTANTS INC,LLM Refined Fuzzy,100.0,1.0
1612429,"Fieldman, Rolapp & Associates, Inc.",60800.0,FIELDMAN ROLAPP AND ASSOCIATES INC,LLM Refined Fuzzy,94.0,0.9
1612430,"Fieldman Rolapp Financial Services, LLC",68231.0,FIELDMAN ROLAPP FINANCIAL SERVICES LLC,LLM Refined Fuzzy,100.0,0.98
1612505,"Public Advisory Consultants, Inc",50089.0,PUBLIC ADVISORY CONSULTANTS INC,LLM Refined Fuzzy,100.0,1.0
1612515,"IBERIA Wealth Advisors, a division of IBERIABANK",,,No Match,,
1612515,"IBERIA Wealth Advisors, a division of First Horizon Bank",,,No Match,,
1612587,"Spectrum Municipal Services, Inc.",55394.0,SPECTRUM MUNICIPAL SERVICES INC,LLM Refined Fuzzy,100.0,0.98
1612588,"Larson Consulting Services, LLC",62654.0,LARSON CONSULTING SERVICES LLC,LLM Refined Fuzzy,100.0,1.0
1612593,CapM Funding,73082.0,CAPM FUNDING,LLM Refined Fuzzy,100.0,1.0
1612595,"Applied Best Practices, LLC",,,No Match,,
1612596,"Universal Structured Finance Group, Inc.",,,No Match,,
1612599,Keygent LLC,61164.0,KEYGENT LLC,LLM Refined Fuzzy,100.0,1.0
1612756,"Roberts Consulting, LLC",68105.0,ROBERTS CONSULTING LLC,LLM Refined Fuzzy,100.0,1.0
1612772,"Liscarnan Solutions, LLC",55027.0,LISCARNAN SOLUTIONS LLC,LLM Refined Fuzzy,100.0,1.0
1612774,Lawrence Financial Consulting LLC,51513.0,LAWRENCE FINANCIAL CONSULTING LLC,LLM Refined Fuzzy,100.0,1.0
1612774,TIJERINA GALVAN LAWRENCE LLC,71723.0,TIJERINA GALVAN LAWRENCE LLC,LLM Refined Fuzzy,100.0,1.0
1612774,TIJERINA FINANCIAL CONSULTING LLC,77680.0,TIJERINA FINANCIAL CONSULTING LLC,LLM Refined Fuzzy,100.0,1.0
1612775,"Crystal Financial Consultants, Inc.",56001.0,CRYSTAL FINANCIAL CONSULTANTS INC,LLM Refined Fuzzy,100.0,1.0
1612918,"Rockmill Financial Consulting, LLC",67270.0,ROCKMILL FINANCIAL CONSULTING LLC,LLM Refined Fuzzy,100.0,1.0
1612952,Yuba Group LLC,64441.0,YUBA GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1612953,CSG Advisors Inc,50063.0,CSG ADVISORS INC,LLM Refined Fuzzy,100.0,1.0
1612997,"Acacia Investment Advisory Group, Inc.",55376.0,INVESTMENT MANAGEMENT ADVISORY GROUP INC,LLM Refined Fuzzy,76.0,0.85
1612998,"Cardea Partners East, LLC",59162.0,AVONDALE PARTNERS LLC,Fuzzy Only (LLM low confidence),76.0,0.7
1612999,"Municipal Solutions, Inc.",56466.0,MUNICIPAL SOLUTIONS INC,LLM Refined Fuzzy,100.0,1.0
1613001,"Acacia Financial Group, Inc.",55598.0,ACACIA FINANCIAL GROUP INC,LLM Refined Fuzzy,100.0,0.98
1613201,A. M. Peche & Associates LLC,55680.0,AM PECHE AND ASSOCIATES LLC,LLM Refined Fuzzy,86.0,0.97
1613275,Bradley Payne LLC,62256.0,BRADLEY PAYNE LLC,LLM Refined Fuzzy,100.0,1.0
1613281,"Development & Public Finance, LLC",58264.0,DELTA PUBLIC FINANCE LLC,LLM Refined Fuzzy,85.0,0.85
1613365,"D. Ladd Pattillo & Associates, Inc.",54936.0,D LADD PATTILLO AND ASSOCIATES INC,LLM Refined Fuzzy,94.0,0.9
1613367,"Pension Consulting Alliance, Inc.",,,No Match,,
1613367,"Pension Consulting Alliance, LLC",,,No Match,,
1613443,Calhoun Baker Inc.,52865.0,CALHOUN BAKER INC,LLM Refined Fuzzy,100.0,1.0
1613478,"Western Financial Group, LLC",39500.0,WESTERN FINANCIAL GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1613684,"North Slope Capital Advisors, Inc.",70208.0,NORTH SLOPE CAPITAL ADVISORS INC,LLM Refined Fuzzy,100.0,1.0
1613724,Krause John Lawrence JR,,,No Match,,
1613724,Krause John Lawrence Jr.,,,No Match,,
1613724,Krause John Lawrence,,,No Match,,
1613760,Citycode Financial LLC,61446.0,CITYCODE FINANCIAL LLC,LLM Refined Fuzzy,100.0,1.0
1613761,"P3 Development Advisors, LLC",66731.0,P3 DEVELOPMENT ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1613831,"C. M. de Crinis & Co., Inc.",50753.0,C M DE CRINIS AND CO INC,LLM Refined Fuzzy,91.0,0.9
1613872,Pop-Lazic & Co.,71164.0,POP LAZIC AND CO,LLM Refined Fuzzy,86.0,0.98
1613872,Pop-Lazic & Co. LLC,71164.0,POP LAZIC AND CO,LLM Refined Fuzzy,75.0,0.9
1613938,Springsted Investment Advisors Inc,38883.0,SPRINGSTED FINANCIAL ADVISORS,LLM Refined Fuzzy,76.0,0.9
1613940,Springsted Inc,26933.0,SPRINGSTED INC,LLM Refined Fuzzy,100.0,1.0
1613956,"JNA Consulting Group, LLC",56497.0,JNA CONSULTING GROUP LLC,LLM Refined Fuzzy,100.0,0.98
1613983,"Friedman, Luzzatto & Co",36952.0,FRIEDMAN LUZZATTO AND CO,LLM Refined Fuzzy,91.0,1.0
1613993,Buck Financial Advisors LLC,52166.0,BUCK FINANCIAL ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1614042,"Capitol Public Finance Group, LLC",52639.0,CAPITOL PUBLIC FINANCE GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1614082,"Municipal Advisors Group of Boston, Inc.",64164.0,MUNICIPAL ADVISORS GROUP OF BOSTON INC,LLM Refined Fuzzy,100.0,1.0
1614144,"UniBank Fiscal Advisory Services, Inc.",49911.0,UNIBANK FISCAL ADVISORY SERVICES INC,LLM Refined Fuzzy,100.0,0.98
1614145,Mission Management & Consultants LLC,54665.0,MIDWEST MANAGEMENT CONSULTANTS INC,LLM Refined Fuzzy,82.0,0.8
1614154,"Del Rio Advisors, LLC",55274.0,DEL RIO ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1614196,Wolf & Co Inc.,67474.0,WOLF AND CO INC,LLM Refined Fuzzy,85.0,1.0
1614197,"National Minority Consultants, Inc.",59184.0,NATIONAL MINORITY CONSULTANTS INC,LLM Refined Fuzzy,100.0,1.0
1614240,"A.C. ADVISORY, INC.",50566.0,AC ADVISORY INC,LLM Refined Fuzzy,90.0,0.9
1614245,"David Drown Associates, Inc.",49893.0,DAVID DROWN ASSOCIATES INC,LLM Refined Fuzzy,100.0,0.98
1614248,"Blue Rose Capital Advisors, Inc.",65705.0,BLUE ROSE CAPITAL ADVISORS INC,LLM Refined Fuzzy,100.0,0.98
1614248,"Blue Rose Capital Advisors, LLC",69439.0,BLUE ROSE CAPITAL ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1614249,"Waters & Company, LLC",,,No Match,,
1614281,"Montague DeRose & Associates, LLC",53894.0,MONTAGUE DEROSE AND ASSOCIATES LLC,LLM Refined Fuzzy,94.0,0.98
1614331,American Deposit Management LLC,50224.0,ABI CAPITAL MANAGEMENT LLC,Fuzzy Only (LLM low confidence),77.0,0.7
1614351,Mohanty Gargiulo LLC,63358.0,MOHANTY GARGIULO LLC,LLM Refined Fuzzy,100.0,1.0
1614403,"Peters Municipal Consultants, LTD",66677.0,PETERS MUNICIPAL CONSULTANTS LTD,LLM Refined Fuzzy,100.0,1.0
1614403,"Peters Franklin, LTD",73038.0,PETERS FRANKLIN LTD,LLM Refined Fuzzy,100.0,1.0
1614426,Cooperman Joshua Gershon,,,No Match,,
1614472,"Frasca & Associates, LLC",53118.0,FRASCA AND ASSOCIATES LLC,LLM Refined Fuzzy,91.0,1.0
1614475,Bendzinski & Co. Municipal Finance Advisors,57238.0,BENDZINSKI AND CO MUNICIPAL FINANCE ADVISORS,LLM Refined Fuzzy,95.0,0.98
1614477,"Concord Public Financial Advisors, Inc.",50231.0,CONCORD PUBLIC FINANCIAL ADVISORS INC,LLM Refined Fuzzy,100.0,1.0
1614702,"Hobbs, Ong & Associates, Inc.",50924.0,HOBBS ONG AND ASSOCIATES INC,LLM Refined Fuzzy,92.0,0.98
1614703,Municipal Advisory Services Inc.,67491.0,MUNICIPAL FINANCE ADVISORY SERVICE,LLM Refined Fuzzy,92.0,0.85
1614705,Specialized Public Finance Inc.,61828.0,SPECIALIZED PUBLIC FINANCE INC,LLM Refined Fuzzy,100.0,1.0
1614752,"Hamlin Capital Advisors, LLC",67023.0,HAMLIN CAPITAL ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1614774,"MuniCap, Inc.",52667.0,MUNICAP INC,LLM Refined Fuzzy,100.0,0.9
1614776,Efficient Capital Corp,50263.0,EFFICIENT CAPITAL CORP,LLM Refined Fuzzy,100.0,1.0
1614792,"Wisconsin Public Finance Professionals, LLC",61254.0,WISCONSIN PUBLIC FINANCE PROFESSIONALS LLC,LLM Refined Fuzzy,100.0,1.0
1614794,Ross Financial,50722.0,ROSS FINANCIAL,LLM Refined Fuzzy,100.0,1.0
1614794,Peter J. Ross,,,No Match,,
1614858,"SRJ Government Consultants, LLC",64050.0,SRJ GOVERNMENT CONSULTANTS LLC,LLM Refined Fuzzy,100.0,0.98
1614859,"Swap Financial Group, LLC",50817.0,SWAP FINANCIAL GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1614862,DIXWORKS LLC,50207.0,DIXWORKS LLC,LLM Refined Fuzzy,100.0,1.0
1614873,"Municipal Advisor Solutions, LLC",70479.0,MUNICIPAL ADVISOR SOLUTIONS LLC,LLM Refined Fuzzy,100.0,1.0
1614911,"Blitch Associates, Inc.",63001.0,BLITCH ASSOCIATES INC,LLM Refined Fuzzy,100.0,0.98
1614912,Lamont Financial Services Corp,49987.0,LAMONT FINANCIAL SERVICES CORP,LLM Refined Fuzzy,100.0,1.0
1614942,"J. Donald Porter & Co., Inc.",71104.0,J DONALD PORTER AND CO INC,LLM Refined Fuzzy,92.0,0.85
1614947,"Rathmann & Associates, L.P.",49970.0,RATHMANN AND ASSOCIATES LP,LLM Refined Fuzzy,90.0,0.98
1615072,Sperry Capital Inc.,50094.0,SPERRY CAPITAL INC,LLM Refined Fuzzy,100.0,1.0
1615072,"Sperry Capital, Inc.",50094.0,SPERRY CAPITAL INC,LLM Refined Fuzzy,100.0,0.98
1615094,"Urban Futures, Inc.",50069.0,URBAN FUTURES INC,LLM Refined Fuzzy,100.0,1.0
1615094,"URBAN FUTURES, INC.",50069.0,URBAN FUTURES INC,LLM Refined Fuzzy,100.0,0.98
1615095,"Eppinger & Associates, LLC",69903.0,EPPINGER AND ASSOCIATES LLC,LLM Refined Fuzzy,92.0,0.98
1615129,John S. Vincent & Co LLC,50850.0,JOHN S VINCENT AND CO LLC,LLM Refined Fuzzy,91.0,1.0
1615340,"C Financial Investment, Inc.",73169.0,C FINANCIAL INVESTMENTS INC,LLM Refined Fuzzy,98.0,0.9
1615351,Prism Municipal Advisors,52078.0,PRISM MUNICIPAL ADVISORS LLC,LLM Refined Fuzzy,92.0,1.0
1615380,Baker Group LP,50734.0,BAKER GROUP LP,LLM Refined Fuzzy,100.0,1.0
1615383,TKG & ASSOCIATES LLC,51463.0,TKG AND ASSOCIATES LLC,LLM Refined Fuzzy,90.0,0.98
1615383,"Knight & Day Group, LLC",60652.0,KNIGHT GROUP,LLM Refined Fuzzy,75.0,0.8
1615449,"Gollahon Financial Services, Inc.",63721.0,GOLLAHON FINANCIAL SERVICES INC,LLM Refined Fuzzy,100.0,0.98
1615477,"Stauder, Barch & Associates, Inc.",29389.0,STAUDER BARCH AND ASSOCIATES INC,LLM Refined Fuzzy,93.0,0.98
1615480,Forsyth Street Advisors LLC,57370.0,FORSYTH STREET ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1615603,"Chatham Hedging Advisors, LLC",67023.0,HAMLIN CAPITAL ADVISORS LLC,Fuzzy Only (LLM low confidence),76.0,0.7
1615741,"Dunlap & Associates, Inc.",50583.0,DUNLAP AND ASSOCIATES INC,LLM Refined Fuzzy,91.0,1.0
1615895,First National Bank - Hamilton,65272.0,FIRST NATIONAL BANK OF HAMILTON,LLM Refined Fuzzy,95.0,0.9
1615947,Neuberger Berman Trust Co National Association,,,No Match,,
1616021,"Comer Capital Group, LLC",64176.0,COMER CAPITAL GROUP LLC,LLM Refined Fuzzy,100.0,0.98
1616202,Fisher Robert W. E.,68330.0,ROBERT WE FISHER,LLM Refined Fuzzy,91.0,0.9
1616206,Student Loan Capital Strategies LLC,62380.0,STUDENT LOAN CAPITAL STRATEGIES LLC,LLM Refined Fuzzy,100.0,1.0
1616206,S L Capital Strategies LLC,69593.0,SL CAPITAL STRATEGIES LLC,LLM Refined Fuzzy,94.0,1.0
1616325,"Government Consultants, Inc.",50810.0,GOVERNMENT CONSULTANTS INC,LLM Refined Fuzzy,100.0,1.0
1616403,"Braun Research COnsulting, LLC",,,No Match,,
1616462,"South Avenue Investment Partners, LLC",,,No Match,,
1616508,"Carter & Sloope, Inc.",,,No Match,,
1616512,S. B. Friedman & Co,63753.0,SB FRIEDMAN AND CO,LLM Refined Fuzzy,85.0,0.9
1616512,"SB Friedman Development Advisors, LLC",66731.0,P3 DEVELOPMENT ADVISORS LLC,LLM Refined Fuzzy,79.0,0.85
1616703,"Cardea Partners West, Inc.",,,No Match,,
1616735,Brown Alexander Gordon,,,No Match,,
1616795,"Municipal Finance Services, Inc.",27641.0,MUNICIPAL FINANCE SERVICES INC,LLM Refined Fuzzy,100.0,1.0
1616796,Stephen L. Smith Corp.,47962.0,STEPHEN L SMITH CORP,LLM Refined Fuzzy,100.0,0.98
1616995,"BAKER TILLY MUNICIPAL ADVISORS, LLC",71486.0,BAKER TILLY MUNICIPAL ADVISORS LLC,LLM Refined Fuzzy,100.0,0.98
1617177,Government Financial Strategies inc.,47860.0,GOVERNMENT FINANCIAL STRATEGIES INC,LLM Refined Fuzzy,100.0,1.0
1617304,Donahoe Anne Marie,,,No Match,,
1617366,National Healthcare Capital LLC,,,No Match,,
1617379,"Annette Yee & Company, LLC",66264.0,ANNETTE YEE AND CO LLC,LLM Refined Fuzzy,80.0,0.98
1617449,"Arrow Partners, Inc.",,,No Match,,
1617455,Lloyd Barbara A,,,No Match,,
1617517,SJ ADVISORS LLC,69021.0,SJ ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1617525,Lamont Investment Advisers Corp,,,No Match,,
1617606,"G.L. Hicks Financial, LLC",55854.0,GL HICKS FINANCIAL LLC,LLM Refined Fuzzy,93.0,1.0
1617624,"Cender & Company, L.L.C.",,,No Match,,
1617637,"S.P. Yount Financial, LLC",65698.0,SP YOUNT FINANCIAL LLC,LLM Refined Fuzzy,93.0,1.0
1617680,Osowski Brian David,,,No Match,,
1617680,"AMKO Advisors, LLC",71531.0,AMKO ADVISORS LLC,LLM Refined Fuzzy,100.0,0.98
1617749,"London Witte Group, LLC",50649.0,LONDON WITTE GROUP LLC,LLM Refined Fuzzy,100.0,1.0
1617771,"Engineering Management, Inc.",,,No Match,,
1617776,Financial S&lutions LLC,52896.0,FINANCIAL SOLUTIONS LLC,LLM Refined Fuzzy,91.0,1.0
1617776,"FSL Public Finance, LLC",72783.0,FSL PUBLIC FINANCE LLC,LLM Refined Fuzzy,100.0,1.0
1617793,"Ernst & Young Infrastructure Advisors, LLC",,,No Match,,
1617795,AKF Consulting LLC,55477.0,ZA CONSULTING LLC,LLM Refined Fuzzy,80.0,0.8
1617889,"F&J Housing Group, L.L.C.",,,No Match,,
1617911,A. Dashen & Associates,67874.0,DASHEN AND ASSCOCIATES,LLM Refined Fuzzy,93.0,0.9
1617911,NORTHWEST MUNICIPAL ADVISORS,69131.0,NORTHWEST MUNICIPAL ADVISORS,LLM Refined Fuzzy,100.0,1.0
1617911,"NORTHWEST MUNICIPAL ADVISORS, INC.",69131.0,NORTHWEST MUNICIPAL ADVISORS,LLM Refined Fuzzy,93.0,0.98
1617948,PFM Swap Advisors LLC,77583.0,PFM SWAP ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1617979,"Genesis Marketing Group, Inc.",,,No Match,,
1617993,"Public Financial Management, Inc.",46876.0,PUBLIC FINANCIAL MANAGEMENT INC,LLM Refined Fuzzy,100.0,1.0
1618039,"Beacon Lights Research & Advisory, LLC",,,No Match,,
1618040,"Rice Advisory, LLC",63796.0,RICE ADVISORY LLC,LLM Refined Fuzzy,100.0,1.0
1618052,Bartlett Raymond J,,,No Match,,
1618147,Oyster River Capital LP,,,No Match,,
1618172,Environmental Attribute Advisors LLC,,,No Match,,
1618282,"ACI Financial Advisors, LLC",67853.0,ACI FINANCIAL ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1618400,"Trinity Capital Resources, LLC",57624.0,TRINITY CAPITAL RESOURCES LLC,LLM Refined Fuzzy,100.0,1.0
1618524,"DiPerna & Company, LLC",69705.0,DIPERNA AND CO LLC,LLM Refined Fuzzy,76.0,0.85
1618675,THB Advisory LLC,61302.0,THB ADVISORY LLC,LLM Refined Fuzzy,100.0,1.0
1618676,NBS Government Finance Group,68636.0,GOVERNMENT FINANCE GROUP,LLM Refined Fuzzy,92.0,0.9
1618706,Mercator Advisors LLC,62570.0,MERCATOR ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
1618730,"A. M. Miller & Co., Inc.",51778.0,A M MILLER AND CO INC,LLM Refined Fuzzy,89.0,0.85
1619056,DeFraites Arthur Alexander Jr,,,No Match,,
1619152,"Evergreen Capital Advisors, Inc.",50862.0,EVERGREEN CAPITAL ADVISORS INC,LLM Refined Fuzzy,100.0,0.98
1619253,John W. Meyer PhD,72219.0,JOHN W MEYER PHD,LLM Refined Fuzzy,100.0,1.0
1619494,"Avant Energy, Inc.",69808.0,AVANT ENERGY INC,LLM Refined Fuzzy,100.0,1.0
1619532,"M.E. ALLISON & CO., INC.",42862.0,ME ALLISON AND CO INC,LLM Refined Fuzzy,82.0,0.85
1619577,CliftonLarsonAllen Municipal Advisors LLC,73063.0,CALIFORNIA MUNICIPAL ADVISORS LLC,LLM Refined Fuzzy,84.0,0.8
1619659,"Longhouse Capital Advisors, LLC",66464.0,LONGHOUSE CAPITAL ADVISORS LLC,LLM Refined Fuzzy,100.0,1.0
